wavelength(ang),flux
5459.998544728501,0.0032334393
5460.039962636401,0.001135476
5460.0813805443,0.0016492503
5460.1227984522,0.0011816415
5460.1642163601,0.0018841145
5460.205634268001,-0.0007035459
5460.2470521759005,-0.0013966414
5460.2884700838,0.002718533
5460.3298879917,-0.00011745865
5460.3713058996,0.0007906501
5460.412723807501,0.0020100027
5460.4541417154005,0.0011188121
5460.4955596233,-7.819322e-06
5460.5369775312,-0.00013680078
5460.5783954391,-0.00035515524
5460.619813347001,-0.00046597773
5460.6612312549005,-0.00047126622
5460.7026491628,0.0017107477
5460.7440670707,-0.0006900432
5460.7854849786,4.147249e-05
5460.826902886501,0.0016881743
5460.8683207944005,-4.7714442e-05
5460.9097387023,0.00024957318
5460.9511566102,0.0010146106
5460.9925745181,6.1214254e-05
5461.033992426001,0.00064137357
5461.0754103339,0.0010382836
5461.1168282418,-0.0003865927
5461.1582461497,0.0011242667
5461.1996640576,0.0018915648
5461.241081965501,0.0010999225
5461.2824998734,0.0005396721
5461.3239177813,-0.00062172324
5461.3653356892,-0.0019078469
5461.406753597101,-0.0009745477
5461.448171505001,0.0010224261
5461.4895894129,0.0005867108
5461.5310073208,0.0011627765
5461.5724252287,0.0015314741
5461.613843136601,0.001017704
5461.655261044501,0.0013804925
5461.6966789524,0.0022992808
5461.7380968603,-0.0019606492
5461.7795147682,-0.0013137716
5461.820932676101,0.0012653492
5461.8623505840005,0.0009878619
5461.9037684919,0.0014604209
5461.9451863998,0.000576657
5461.9866043077,0.0023775455
5462.028022215601,0.001028026
5462.0694401235005,-0.00049593474
5462.1108580314,-0.00020036925
5462.1522759393,0.00060280366
5462.1936938472,0.0003044631
5462.235111755101,-0.00019266157
5462.2765296630005,0.0018213134
5462.3179475709,-0.00034702598
5462.3593654788,0.0015398219
5462.4007833867,0.0006912032
5462.442201294601,0.000119531585
5462.4836192025,-0.0017523486
5462.5250371104,-0.0010838006
5462.5664550183,0.0014391381
5462.6078729262,-0.0004892473
5462.649290834101,-0.00046815595
5462.690708742,-0.00023010647
5462.7321266499,0.00043879822
5462.7735445578,0.001532714
5462.814962465701,-0.0001497256
5462.856380373601,0.0011181546
5462.8977982815,-0.0002917433
5462.9392161894,0.00073622435
5462.9806340973,0.0001939945
5463.022052005201,-0.0010831698
5463.063469913101,0.00065013167
5463.104887821,-0.00035993275
5463.1463057289,0.002006532
5463.1877236368,0.0016089355
5463.229141544701,0.00028922432
5463.2705594526005,-4.9621194e-06
5463.3119773605,-0.00095746294
5463.3533952684,-7.916728e-05
5463.3948131763,0.0017077149
5463.436231084201,9.407139e-05
5463.4776489921005,0.0018281854
5463.5190669,-0.0010572011
5463.5604848079,0.0005938563
5463.6019027158,-0.0002234972
5463.643320623701,0.0020059024
5463.6847385316005,0.0008860202
5463.7261564395,-0.00015898823
5463.7675743474,0.00036176693
5463.8089922553,-5.784114e-05
5463.850410163201,0.00039930263
5463.8918280711005,-0.0016350275
5463.933245979,-0.0006231377
5463.9746638869,0.0017291509
5464.0160817948,0.0003824549
5464.057499702701,0.00071164843
5464.0989176106,-0.00047854052
5464.1403355185,0.00022785609
5464.1817534264,0.00031122702
5464.2231713343,0.0008225231
5464.264589242201,-0.0017276396
5464.3060071501,-0.0006221662
5464.347425058,0.00072853174
5464.3888429659,0.0008613568
5464.430260873801,-0.00029175787
5464.471678781701,4.7561305e-05
5464.5130966896,0.0015351508
5464.5545145975,0.00067063945
5464.5959325054,0.00030608836
5464.637350413301,-6.7564615e-05
5464.678768321201,0.0011415237
5464.7201862291,0.0017827757
5464.761604137,0.00086643803
5464.8030220449,0.0013095087
5464.844439952801,-0.0008137792
5464.8858578607005,-0.0014210257
5464.9272757686,-0.001020098
5464.9686936765,0.00070816197
5465.0101115844,0.00035808218
5465.051529492301,0.0013449979
5465.0929474002005,0.0012332037
5465.1343653081,0.000318073
5465.175783216,-0.0007156982
5465.2172011239,-0.0013524151
5465.258619031801,-0.0009303672
5465.3000369397005,-0.00032825556
5465.3414548476,0.0017025225
5465.3828727555,-7.8085184e-05
5465.4242906634,0.0013796545
5465.465708571301,-0.00043273292
5465.5071264792,0.00063122966
5465.5485443871,0.00089480623
5465.589962295,0.00037034106
5465.6313802029,4.038165e-05
5465.672798110801,0.0010687214
5465.7142160187,0.0009077137
5465.7556339266,-0.0004652369
5465.7970518345,0.00054034963
5465.838469742401,-0.0013538419
5465.879887650301,-0.0010181315
5465.9213055582,-0.0009377151
5465.9627234661,0.0006268405
5466.004141374,0.0007302836
5466.045559281901,-0.0010993271
5466.086977189801,-0.00038100203
5466.1283950977,0.00095042173
5466.1698130056,0.0020174144
5466.2112309135,-0.00016522067
5466.252648821401,0.00019793799
5466.2940667293005,-0.0005278239
5466.3354846372,-0.0002511581
5466.3769025451,0.0016202431
5466.418320453,-0.0003139777
5466.459738360901,-0.00010193864
5466.5011562688005,-0.00012414879
5466.5425741767,0.0010525219
5466.5839920846,-0.0010523584
5466.6254099925,0.0021378503
5466.666827900401,0.0005825447
5466.7082458083005,0.00086920627
5466.7496637162,0.00055387244
5466.7910816241,-0.0018668759
5466.832499532,-0.00011934805
5466.873917439901,-0.0014378974
5466.9153353478005,0.0010911822
5466.9567532557,-0.0006323522
5466.9981711636,0.00039761362
5467.0395890715,-0.00035143967
5467.081006979401,0.00086073665
5467.1224248873,0.00040358052
5467.1638427952,0.0015365003
5467.2052607031,-0.00031753382
5467.246678611,-0.00019538491
5467.288096518901,0.0007025923
5467.3295144268,0.00034871572
5467.3709323347,-0.0003044649
5467.4123502426,-0.00038127194
5467.453768150501,-0.0015662255
5467.495186058401,-0.0003595962
5467.5366039663,0.0015747125
5467.5780218742,0.00020031854
5467.6194397821,-5.1638774e-05
5467.660857690001,-0.0017030459
5467.702275597901,-0.0004499211
5467.7436935058,0.0005381064
5467.7851114137,0.0014949722
5467.8265293216,3.4326687e-05
5467.867947229501,-0.0010005918
5467.9093651374005,0.0002542668
5467.9507830453,0.0012856566
5467.9922009532,0.0012597033
5468.0336188611,-0.00045895038
5468.075036769001,-0.0001964778
5468.1164546769005,0.0012929663
5468.1578725848,-0.00025394702
5468.1992904927,0.0008660879
5468.2407084006,0.00069860875
5468.282126308501,0.00023480749
5468.3235442164005,-0.000106888176
5468.3649621243,-0.0014645053
5468.4063800322,0.000413154
5468.4477979401,0.00039920304
5468.489215848001,0.00017023068
5468.5306337559,0.0018752454
5468.5720516638,0.001903132
5468.6134695717,0.001193511
5468.6548874796,-0.00044462565
5468.696305387501,-0.00042367703
5468.7377232954,3.393929e-05
5468.7791412033,-9.856451e-05
5468.8205591112,-0.0005689407
5468.8619770191,-0.00063339947
5468.903394927001,4.7164693e-05
5468.9448128349,0.0006708865
5468.9862307428,-5.08659e-06
5469.0276486507,-9.769765e-05
5469.069066558601,-0.00024512553
5469.110484466501,0.00022593909
5469.1519023744,0.0017533713
5469.1933202823,0.001122919
5469.2347381902,0.00047852934
5469.276156098101,0.00014856126
5469.3175740060005,-0.0010754266
5469.3589919139,-0.0004250011
5469.4004098218,8.36263e-05
5469.4418277297,0.0011162834
5469.483245637601,0.00020068446
5469.5246635455005,-0.0020274357
5469.5660814534,0.0014435112
5469.6074993613,0.00056219904
5469.6489172692,0.0006198236
5469.690335177101,-0.00070302194
5469.7317530850005,-0.0003880896
5469.7731709929,-0.0018168971
5469.8145889008,-0.00054017064
5469.8560068087,0.0009229211
5469.897424716601,0.002012453
5469.9388426245005,-0.00021243676
5469.9802605324,-2.4571285e-05
5470.0216784403,0.00035903472
5470.0630963482,0.0011290429
5470.104514256101,0.0022383616
5470.145932164,0.0012128765
5470.1873500719,0.00058054057
5470.2287679798,-0.000683747
5470.2701858877,-0.00023868811
5470.311603795601,-0.00058273284
5470.3530217035,-0.00014112674
5470.3944396114,-8.185831e-05
5470.4358575193,0.00031883188
5470.477275427201,0.00029104273
5470.518693335101,0.00015185682
