HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459269.828,2021-02-24.3301449,bk,1.49,16.737,16.066,0.118,1.36,0.147,g
2459269.829,2021-02-24.3313770,bk,1.46,16.836,16.419,0.149,0.983,0.134,g
2459271.826,2021-02-26.3275256,bk,1.5,14.659,14.659,99.99,1.797,0.995,g
2459271.827,2021-02-26.3287545,bk,1.5,14.361,14.361,99.99,0.817,1.309,g
2459271.828,2021-02-26.3299856,bk,1.51,14.848,13.189,0.049,19.25,0.845,g
2459272.556,2021-02-27.0581059,bo,2.08,15.558,15.558,99.99,-0.446,0.434,g
2459272.558,2021-02-27.0593370,bo,2.07,15.599,15.599,99.99,0.978,0.418,g
2459272.559,2021-02-27.0605646,bo,2.04,15.554,15.554,99.99,0.787,0.436,g
2459272.568,2021-02-27.0695362,bo,1.94,15.593,15.593,99.99,0.742,0.421,g
2459272.569,2021-02-27.0707640,bo,1.95,15.59,15.59,99.99,1.162,0.422,g
2459272.57,2021-02-27.0719885,bo,1.96,15.616,15.616,99.99,0.53,0.412,g
2459273.815,2021-02-28.3167228,bG,1.5,15.732,15.732,99.99,0.602,0.37,g
2459275.798,2021-03-02.2991358,bk,1.48,15.869,15.869,99.99,1.091,0.326,g
2459275.799,2021-03-02.3003709,bk,1.47,15.924,15.924,99.99,1.012,0.31,g
2459275.8,2021-03-02.3016067,bk,1.45,15.175,13.076,0.032,21.362,0.623,g
2459275.885,2021-03-02.3865428,bk,1.47,16.077,15.281,0.105,2.804,0.269,g
2459275.886,2021-03-02.3877835,bk,1.47,16.088,16.088,99.99,0.996,0.267,g
2459275.888,2021-03-02.3890135,bk,1.46,16.068,14.488,0.051,5.823,0.272,g
2459276.836,2021-03-03.3374160,bk,1.57,16.062,16.062,99.99,1.003,0.273,g
2459276.837,2021-03-03.3386391,bk,1.46,16.098,16.098,99.99,1.049,0.264,g
2459276.838,2021-03-03.3398712,bk,1.51,15.892,14.392,0.055,6.359,0.32,g
2459277.807,2021-03-04.3082774,bG,1.48,16.132,16.12,0.217,1.294,0.256,g
2459277.808,2021-03-04.3095810,bG,1.49,16.002,16.002,99.99,0.852,0.288,g
2459277.81,2021-03-04.3108567,bG,1.48,16.164,16.164,99.99,0.879,0.249,g
2459278.783,2021-03-05.2839362,bG,1.47,15.959,15.914,0.211,1.564,0.3,g
2459278.784,2021-03-05.2852232,bG,1.46,16.026,16.026,99.99,0.843,0.282,g
2459278.785,2021-03-05.2865188,bG,1.44,16.002,15.906,0.201,1.575,0.289,g
2459278.83,2021-03-05.3313247,bG,1.51,16.181,16.04,0.193,1.394,0.245,g
2459278.831,2021-03-05.3326346,bG,1.41,16.261,16.261,99.99,1.053,0.227,g
2459278.833,2021-03-05.3339461,bG,1.5,16.229,16.229,99.99,0.902,0.234,g
2459282.638,2021-03-09.1392025,bo,1.44,99.99,99.99,99.99,99.99,99.99,g
2459282.64,2021-03-09.1404311,bo,1.42,99.99,99.99,99.99,99.99,99.99,g
2459282.641,2021-03-09.1416612,bo,1.4,16.245,16.114,0.194,1.301,0.231,g
2459282.815,2021-03-09.3155960,bk,1.6,16.729,16.058,0.118,1.371,0.148,g
2459282.816,2021-03-09.3168180,bk,1.57,16.726,16.291,0.147,1.106,0.148,g
2459282.817,2021-03-09.3180457,bk,1.59,16.611,16.281,0.162,1.116,0.165,g
2459284.778,2021-03-11.2789017,bG,2.13,16.722,16.348,0.155,1.049,0.149,g
2459284.78,2021-03-11.2802101,bG,2.12,16.435,15.853,0.128,1.656,0.194,g
2459284.781,2021-03-11.2815077,bG,2.07,16.247,16.247,99.99,1.125,0.23,g
2459287.784,2021-03-14.2841934,bk,1.43,16.809,16.351,0.144,1.046,0.137,g
2459287.785,2021-03-14.2854,bk,1.47,16.852,16.338,0.137,1.058,0.132,g
2459287.786,2021-03-14.2866432,bk,1.43,16.971,16.282,0.116,1.115,0.118,g
2459287.872,2021-03-14.3726063,bk,1.45,16.972,16.528,0.146,0.889,0.118,g
2459287.873,2021-03-14.3738248,bk,1.42,16.863,16.32,0.133,1.076,0.131,g
2459287.875,2021-03-14.3750410,bk,1.44,17.013,16.271,0.111,1.126,0.114,g
2459289.82,2021-03-16.3198059,bk,2.19,16.615,16.055,0.131,1.374,0.164,g
2459289.821,2021-03-16.3210453,bk,2.18,16.647,15.864,0.107,1.638,0.159,g
2459289.822,2021-03-16.3222743,bk,2.2,16.57,15.981,0.127,1.472,0.171,g
2459291.748,2021-03-18.2480094,bk,1.52,16.63,15.912,0.113,1.568,0.162,g
2459291.749,2021-03-18.2492583,bk,1.51,16.858,16.364,0.139,1.034,0.131,g
2459291.751,2021-03-18.2504976,bk,1.52,16.64,15.979,0.119,1.474,0.16,g
2459291.79,2021-03-18.2896424,bk,1.95,16.69,15.891,0.105,1.598,0.153,g
2459291.791,2021-03-18.2908711,bk,1.94,16.832,16.17,0.119,1.236,0.134,g
2459291.792,2021-03-18.2921096,bk,1.59,16.69,15.8,0.097,1.738,0.153,g
2459294.757,2021-03-21.2570592,bG,1.5,16.698,16.631,0.206,0.808,0.152,g
2459294.759,2021-03-21.2583560,bG,1.46,16.664,16.451,0.18,0.954,0.157,g
2459294.76,2021-03-21.2596699,bG,1.44,16.684,15.992,0.116,1.457,0.154,g
2459296.632,2021-03-23.1312121,bo,1.49,99.99,99.99,99.99,99.99,99.99,g
2459296.633,2021-03-23.1324384,bo,1.42,99.99,99.99,99.99,99.99,99.99,g
2459296.634,2021-03-23.1336652,bo,1.45,99.99,99.99,99.99,99.99,99.99,g
2459297.752,2021-03-24.2517965,bG,1.42,16.602,16.326,0.17,1.07,0.166,g
2459297.754,2021-03-24.2531085,bG,1.44,16.656,16.656,99.99,0.578,0.158,g
2459297.755,2021-03-24.2544163,bG,1.45,16.624,16.624,99.99,0.654,0.163,g
2459298.738,2021-03-25.2376259,bG,1.46,15.977,15.977,99.99,0.785,0.295,g
2459298.74,2021-03-25.2389175,bG,1.49,16.195,16.195,99.99,0.737,0.242,g
2459298.741,2021-03-25.2401995,bG,1.51,15.967,15.967,99.99,0.831,0.298,g
2459299.788,2021-03-26.2870825,bk,1.39,16.207,16.207,99.99,1.014,0.239,g
2459299.789,2021-03-26.2883125,bk,1.4,16.126,15.938,0.184,1.53,0.257,g
2459299.79,2021-03-26.2895415,bk,1.5,16.161,15.715,0.146,1.88,0.249,g
2459300.801,2021-03-27.3003625,bk,1.44,16.052,16.052,99.99,1.323,0.276,g
2459300.803,2021-03-27.3015913,bk,1.53,16.017,16.017,99.99,1.095,0.285,g
2459300.804,2021-03-27.3028152,bk,1.43,16.06,14.944,0.078,3.822,0.274,g
2459300.831,2021-03-27.3302732,bk,1.44,16.351,16.309,0.211,1.088,0.209,g
2459300.832,2021-03-27.3315032,bk,1.4,16.48,16.142,0.161,1.268,0.186,g
2459300.834,2021-03-27.3327424,bk,1.44,16.211,15.034,0.074,3.518,0.238,g
2459303.773,2021-03-30.2720785,bG,1.5,15.828,15.828,99.99,0.947,0.339,g
2459303.775,2021-03-30.2733788,bG,1.56,15.715,15.715,99.99,1.794,0.376,g
2459303.776,2021-03-30.2746903,bG,1.51,15.867,15.867,99.99,0.29,0.327,g
2459303.793,2021-03-30.2918703,bk,1.43,15.916,15.916,99.99,1.17,0.312,g
2459303.794,2021-03-30.2931026,bk,1.43,15.856,15.856,99.99,0.492,0.33,g
2459303.796,2021-03-30.2943291,bk,1.45,15.786,15.786,99.99,1.114,0.352,g
2459304.798,2021-03-31.2971223,bG,1.38,15.797,15.797,99.99,0.588,0.348,g
2459304.8,2021-03-31.2984221,bG,1.56,15.737,15.737,99.99,0.411,0.368,g
2459304.801,2021-03-31.2997053,bG,1.49,16.125,16.125,99.99,0.966,0.258,g
2459304.851,2021-03-31.3495667,bk,1.49,16.071,15.523,0.132,2.243,0.271,g
2459304.852,2021-03-31.3507863,bk,1.57,15.999,15.999,99.99,1.099,0.289,g
2459304.853,2021-03-31.3520046,bk,1.53,15.869,14.788,0.081,4.414,0.326,g
2459310.72,2021-04-06.2183969,bG,1.46,16.708,16.215,0.139,1.186,0.151,g
2459310.722,2021-04-06.2196790,bG,1.42,16.919,16.57,0.159,0.855,0.124,g
2459310.723,2021-04-06.2209972,bG,1.43,16.585,16.414,0.187,0.987,0.169,g
2459310.748,2021-04-06.2461976,bG,1.51,16.74,16.536,0.182,0.883,0.146,g
2459310.749,2021-04-06.2474969,bG,1.43,16.738,16.199,0.133,1.204,0.146,g
2459310.751,2021-04-06.2487956,bG,1.44,16.715,16.415,0.166,0.986,0.15,g
2459311.809,2021-04-07.3069733,bG,1.47,16.898,16.345,0.132,1.052,0.126,g
2459311.81,2021-04-07.3082410,bG,1.45,16.844,16.138,0.114,1.273,0.133,g
2459311.811,2021-04-07.3095145,bG,1.49,16.741,16.458,0.169,0.947,0.146,g
2459312.708,2021-04-08.2059770,bG,1.45,16.702,16.26,0.146,1.138,0.152,g
2459312.709,2021-04-08.2072482,bG,1.47,16.801,16.691,0.198,0.765,0.138,g
2459312.711,2021-04-08.2085358,bG,1.4,16.693,16.485,0.181,0.925,0.153,g
2459313.697,2021-04-09.1951460,bk,1.5,16.837,15.931,0.095,1.54,0.134,g
2459313.699,2021-04-09.1963690,bk,1.48,16.769,16.197,0.129,1.206,0.142,g
2459313.7,2021-04-09.1976060,bk,1.48,16.776,16.144,0.122,1.265,0.141,g
2459314.714,2021-04-10.2113887,bk,1.49,16.895,16.137,0.109,1.275,0.127,g
2459314.715,2021-04-10.2126175,bk,1.46,16.837,16.055,0.107,1.374,0.134,g
2459314.716,2021-04-10.2138593,bk,1.47,16.94,16.37,0.13,1.028,0.122,g
2459315.704,2021-04-11.2017355,bG,1.4,16.706,16.481,0.178,0.928,0.151,g
2459315.705,2021-04-11.203025,bG,1.39,16.835,16.2,0.122,1.202,0.134,g
2459315.707,2021-04-11.2043082,bG,1.43,16.643,16.296,0.159,1.1,0.16,g
2459315.747,2021-04-11.2451408,bG,1.46,16.84,16.158,0.117,1.25,0.133,g
2459315.749,2021-04-11.2464156,bG,1.46,16.778,16.406,0.155,0.995,0.141,g
2459315.75,2021-04-11.2477060,bG,1.43,16.888,16.356,0.134,1.042,0.128,g
2459317.449,2021-04-12.9463859,bo,1.52,16.824,16.184,0.122,1.22,0.135,g
2459317.45,2021-04-12.9476114,bo,1.51,16.915,16.308,0.125,1.088,0.124,g
2459317.451,2021-04-12.9488282,bo,1.51,16.917,16.16,0.109,1.247,0.124,g
2459318.737,2021-04-14.2347521,bk,1.5,16.854,16.055,0.105,1.374,0.132,g
2459318.739,2021-04-14.2359784,bk,1.48,16.924,16.224,0.115,1.176,0.123,g
2459318.74,2021-04-14.2372011,bk,1.47,17.181,16.57,0.125,0.855,0.097,g
2459319.698,2021-04-15.1955643,bG,1.47,16.773,16.22,0.132,1.181,0.142,g
2459319.7,2021-04-15.1968584,bG,1.44,16.702,16.246,0.144,1.152,0.151,g
2459319.701,2021-04-15.1981420,bG,1.43,16.825,16.24,0.128,1.159,0.135,g
2459320.689,2021-04-16.1857983,bk,1.46,16.809,16.305,0.138,1.091,0.137,g
2459320.69,2021-04-16.1870296,bk,1.45,16.808,15.815,0.088,1.715,0.137,g
2459320.691,2021-04-16.1882528,bk,1.5,16.777,16.616,0.189,0.82,0.141,g
2459320.706,2021-04-16.2032109,bk,1.41,16.845,16.261,0.128,1.137,0.133,g
2459320.707,2021-04-16.2044376,bk,1.5,16.81,15.984,0.102,1.466,0.137,g
2459320.708,2021-04-16.2056559,bk,1.41,16.89,16.377,0.137,1.021,0.127,g
2459321.72,2021-04-17.2170667,bG,1.44,16.713,16.181,0.134,1.224,0.15,g
2459321.721,2021-04-17.2183521,bG,1.39,16.802,16.369,0.147,1.03,0.138,g
2459321.723,2021-04-17.2196415,bG,1.42,16.826,16.644,0.185,0.799,0.135,g
2459321.766,2021-04-17.2635759,bk,1.46,17.033,16.394,0.122,1.005,0.112,g
2459321.768,2021-04-17.2648015,bk,1.44,17.01,16.414,0.127,0.986,0.114,g
2459321.769,2021-04-17.2660410,bk,1.46,16.967,16.01,0.091,1.432,0.119,g
2459322.731,2021-04-18.2279667,bk,1.49,16.947,16.382,0.13,1.017,0.121,g
2459322.732,2021-04-18.2292101,bk,1.49,16.867,16.315,0.132,1.081,0.13,g
2459322.733,2021-04-18.2304253,bk,1.42,16.789,16.236,0.132,1.163,0.14,g
2459322.79,2021-04-18.2868665,bG,1.43,17.049,16.329,0.113,1.068,0.11,g
2459322.791,2021-04-18.2881351,bG,1.42,16.948,16.371,0.129,1.027,0.121,g
2459322.792,2021-04-18.2894047,bG,1.42,16.76,16.198,0.131,1.205,0.144,g
2459322.816,2021-04-18.3135083,bk,1.5,16.859,16.11,0.11,1.306,0.131,g
2459322.818,2021-04-18.3147437,bk,1.49,16.898,16.28,0.124,1.117,0.126,g
2459322.819,2021-04-18.3159783,bk,1.5,16.9,16.414,0.14,0.988,0.126,g
2459324.675,2021-04-20.1714519,bk,1.42,16.657,16.343,0.164,1.053,0.158,g
2459324.676,2021-04-20.1726681,bk,1.52,16.509,16.354,0.19,1.043,0.181,g
2459324.677,2021-04-20.1739112,bk,1.41,16.308,16.28,0.214,1.117,0.218,g
2459324.884,2021-04-20.3809873,bk,1.46,16.807,16.448,0.157,0.957,0.137,g
2459324.885,2021-04-20.3822052,bk,1.51,16.788,16.063,0.112,1.364,0.14,g
2459327.413,2021-04-22.9098513,bo,1.47,16.217,15.906,0.165,1.577,0.237,g
2459327.414,2021-04-22.9110828,bo,1.49,16.069,15.975,0.201,1.478,0.271,g
2459327.416,2021-04-22.9123071,bo,1.54,16.121,16.121,99.99,0.675,0.259,g
2459328.661,2021-04-24.1573761,bG,1.52,16.054,16.054,99.99,1.368,0.275,g
2459328.662,2021-04-24.1586590,bG,1.53,15.88,15.88,99.99,0.917,0.323,g
2459328.663,2021-04-24.1599457,bG,1.43,16.003,16.003,99.99,0.439,0.288,g
2459329.719,2021-04-25.2153850,bG,1.44,16.113,16.022,0.202,1.416,0.261,g
2459329.72,2021-04-25.2166744,bG,1.5,16.2,16.2,99.99,1.067,0.241,g
2459329.721,2021-04-25.2179695,bG,1.44,16.029,16.024,0.218,1.414,0.281,g
2459329.727,2021-04-25.2231883,bG,1.48,16.194,16.194,99.99,0.836,0.242,g
2459329.728,2021-04-25.2244607,bG,1.45,16.041,16.041,99.99,0.884,0.279,g
2459329.729,2021-04-25.2257396,bG,1.45,16.128,16.128,99.99,1.255,0.257,g
2459331.801,2021-04-27.2975557,bG,1.42,15.665,15.665,99.99,0.909,0.394,g
2459331.803,2021-04-27.2988434,bG,1.52,15.691,15.691,99.99,1.422,0.384,g
2459331.804,2021-04-27.3001273,bG,1.43,15.808,15.808,99.99,1.013,0.345,g
2459331.821,2021-04-27.3170550,bG,1.47,15.696,15.696,99.99,1.559,0.383,g
2459331.822,2021-04-27.3183401,bG,1.47,15.767,15.767,99.99,1.361,0.358,g
2459331.823,2021-04-27.3196195,bG,1.54,15.716,15.716,99.99,1.466,0.376,g
2459332.668,2021-04-28.1641783,bG,1.4,15.539,15.539,99.99,0.629,0.442,g
2459332.669,2021-04-28.1654657,bG,1.5,15.435,15.435,99.99,0.782,0.486,g
2459332.671,2021-04-28.1667548,bG,1.52,15.415,15.415,99.99,0.74,0.495,g
2459332.686,2021-04-28.1817690,bk,1.47,15.421,13.735,0.046,11.645,0.494,g
2459332.687,2021-04-28.1830049,bk,1.48,15.514,15.514,99.99,1.796,0.452,g
2459332.688,2021-04-28.1842453,bk,1.53,15.73,15.73,99.99,0.7,0.371,g
2459332.731,2021-04-28.2268409,bk,2.09,15.759,15.759,99.99,1.595,0.361,g
2459332.732,2021-04-28.2280674,bk,2.08,15.701,15.701,99.99,0.391,0.381,g
2459332.733,2021-04-28.2292869,bk,2.09,15.518,15.518,99.99,1.509,0.451,g
2459336.65,2021-05-02.1460046,bk,1.98,15.231,14.443,0.106,6.063,0.587,g
2459336.651,2021-05-02.1472357,bk,2.03,15.368,15.368,99.99,0.967,0.518,g
2459336.652,2021-05-02.1484517,bk,2.04,15.544,15.325,0.179,2.692,0.44,g
2459337.642,2021-05-03.1376054,bk,2.04,16.572,16.11,0.143,1.307,0.171,g
2459337.643,2021-05-03.1388331,bk,2.01,16.541,16.277,0.172,1.12,0.176,g
2459337.644,2021-05-03.1400501,bk,2.01,16.535,16.123,0.15,1.291,0.177,g
2459337.691,2021-05-03.1864528,bk,2.09,16.547,16.082,0.143,1.34,0.175,g
2459337.692,2021-05-03.1876690,bk,2.08,16.416,16.251,0.188,1.147,0.197,g
2459337.693,2021-05-03.1888980,bk,2.07,16.457,16.185,0.171,1.22,0.19,g
2459340.627,2021-05-06.1231422,bG,1.48,16.682,16.112,0.13,1.304,0.154,g
2459340.629,2021-05-06.1244204,bG,1.46,16.679,16.237,0.146,1.162,0.155,g
2459340.63,2021-05-06.1257064,bG,1.49,16.625,16.352,0.17,1.046,0.163,g
2459342.659,2021-05-08.1542320,bG,1.47,16.803,16.274,0.135,1.123,0.138,g
2459342.66,2021-05-08.1555078,bG,1.51,16.7,16.188,0.137,1.216,0.152,g
2459342.661,2021-05-08.1567957,bG,1.48,16.805,16.498,0.165,0.914,0.138,g
2459345.635,2021-05-11.1300422,bk,1.51,16.75,16.286,0.143,1.11,0.145,g
2459345.636,2021-05-11.1312711,bk,1.43,16.783,16.211,0.129,1.191,0.141,g
2459345.637,2021-05-11.1325070,bk,1.55,16.868,16.489,0.155,0.921,0.13,g
2459346.632,2021-05-12.1271322,bG,1.44,16.93,16.395,0.134,1.005,0.123,g
2459346.633,2021-05-12.1284061,bG,1.48,16.789,16.429,0.157,0.973,0.14,g
2459346.634,2021-05-12.1296931,bG,1.53,16.745,16.273,0.142,1.125,0.146,g
2459346.667,2021-05-12.1626792,bG,1.43,16.968,16.312,0.12,1.084,0.119,g
2459346.669,2021-05-12.1639623,bG,1.47,16.838,16.351,0.14,1.047,0.134,g
2459346.67,2021-05-12.1652378,bG,1.47,16.761,16.084,0.117,1.339,0.143,g
2459346.69,2021-05-12.1856817,bk,1.45,17.087,16.256,0.102,1.141,0.106,g
2459346.692,2021-05-12.1869118,bk,1.47,16.881,16.024,0.099,1.414,0.128,g
2459346.693,2021-05-12.1881356,bk,1.44,16.945,16.562,0.154,0.862,0.121,g
2459348.607,2021-05-14.1017890,bk,1.52,16.829,16.16,0.118,1.247,0.135,g
2459348.608,2021-05-14.1030252,bk,1.56,16.769,16.451,0.164,0.955,0.142,g
2459348.609,2021-05-14.1042460,bk,1.48,16.661,16.359,0.166,1.038,0.157,g
2459349.862,2021-05-15.3572928,bG,1.47,14.928,14.928,99.99,1.686,0.776,g
2459349.863,2021-05-15.3585658,bG,1.44,15.152,15.152,99.99,0.606,0.631,g
2459349.865,2021-05-15.3598458,bG,1.38,15.292,15.292,99.99,1.368,0.555,g
2459350.786,2021-05-16.2813111,bk,1.39,16.847,16.425,0.148,0.978,0.132,g
2459350.787,2021-05-16.2825436,bk,1.48,16.892,16.102,0.106,1.316,0.127,g
2459350.789,2021-05-16.2837541,bk,1.47,16.831,16.105,0.112,1.312,0.134,g
2459352.412,2021-05-17.9068160,bo,1.47,17.128,16.286,0.101,1.111,0.102,g
2459352.413,2021-05-17.9080429,bo,1.47,16.929,16.283,0.121,1.113,0.123,g
2459352.414,2021-05-17.9092681,bo,1.5,16.896,16.259,0.122,1.138,0.127,g
2459352.419,2021-05-17.9143606,bo,1.41,17.104,16.368,0.111,1.031,0.105,g
2459352.421,2021-05-17.9155854,bo,1.41,17.102,16.423,0.117,0.979,0.105,g
2459352.422,2021-05-17.9168182,bo,1.5,17.099,16.104,0.088,1.313,0.105,g
2459356.588,2021-05-22.0830407,bk,2.04,16.21,16.21,99.99,0.844,0.238,g
2459356.589,2021-05-22.0842533,bk,2.1,16.076,16.076,99.99,1.265,0.269,g
2459356.591,2021-05-22.0854753,bk,2.12,16.131,16.131,99.99,1.133,0.256,g
2459357.645,2021-05-23.1402271,bk,1.49,16.126,16.126,99.99,1.185,0.257,g
2459357.647,2021-05-23.1414652,bk,1.5,16.195,15.547,0.121,2.195,0.242,g
2459357.648,2021-05-23.1426917,bk,1.45,16.239,16.239,99.99,1.021,0.232,g
2459357.668,2021-05-23.1629179,bk,1.45,16.384,15.928,0.144,1.544,0.203,g
2459357.669,2021-05-23.1641457,bk,1.45,16.366,15.318,0.083,2.709,0.206,g
2459357.671,2021-05-23.1653734,bk,1.5,16.344,16.344,99.99,0.623,0.211,g
2459359.62,2021-05-25.1147960,bk,1.94,15.68,15.68,99.99,1.367,0.388,g
2459359.621,2021-05-25.1160209,bk,1.95,15.7,14.017,0.047,8.98,0.382,g
2459359.623,2021-05-25.1172481,bk,1.94,15.634,15.634,99.99,1.446,0.405,g
2459359.634,2021-05-25.1284526,bk,1.46,15.814,15.814,99.99,1.447,0.343,g
2459359.635,2021-05-25.1296943,bk,1.46,15.778,15.18,0.126,3.076,0.355,g
2459359.636,2021-05-25.1309197,bk,1.51,15.722,15.722,99.99,1.195,0.374,g
2459360.635,2021-05-26.1291765,bk,2.18,15.536,15.536,99.99,0.138,0.443,g
2459360.636,2021-05-26.1304004,bk,1.9,15.462,15.462,99.99,0.227,0.475,g
2459360.637,2021-05-26.1316377,bk,2.01,15.278,13.522,0.043,14.168,0.563,g
2459360.661,2021-05-26.1559758,bG,1.42,15.589,15.589,99.99,1.401,0.422,g
2459360.663,2021-05-26.1572693,bG,1.47,15.489,15.489,99.99,-0.195,0.463,g
2459360.664,2021-05-26.1585593,bG,1.47,15.383,15.383,99.99,0.473,0.51,g
2459364.796,2021-05-30.2907726,bk,2.02,99.99,99.99,99.99,99.99,99.99,g
2459364.835,2021-05-30.3297976,bk,1.82,14.494,14.494,99.99,-0.256,1.157,g
2459365.591,2021-05-31.0856967,bG,1.49,16.736,16.305,0.147,1.092,0.147,g
2459365.592,2021-05-31.0869829,bG,1.4,16.677,16.183,0.139,1.222,0.155,g
2459365.594,2021-05-31.0882862,bG,1.48,16.743,16.318,0.148,1.079,0.146,g
2459365.638,2021-05-31.1325634,bG,1.44,16.377,16.213,0.188,1.189,0.204,g
2459365.639,2021-05-31.1338555,bG,1.5,16.537,16.283,0.174,1.114,0.176,g
2459365.641,2021-05-31.1351340,bG,1.51,16.427,16.378,0.21,1.02,0.195,g
2459366.548,2021-06-01.0427570,bG,1.46,16.537,16.133,0.151,1.279,0.176,g
2459366.55,2021-06-01.0440454,bG,1.42,16.695,16.111,0.128,1.305,0.152,g
2459366.615,2021-06-01.1093663,bk,1.46,16.766,16.049,0.113,1.381,0.143,g
2459366.616,2021-06-01.1105927,bk,1.4,16.953,16.171,0.107,1.234,0.12,g
2459366.617,2021-06-01.1118252,bk,1.48,16.915,16.467,0.145,0.94,0.124,g
2459367.826,2021-06-02.3204472,bk,1.4,16.694,16.033,0.119,1.401,0.153,g
2459367.827,2021-06-02.3216818,bk,1.45,16.887,15.899,0.088,1.587,0.128,g
2459367.828,2021-06-02.3229094,bk,1.48,16.839,16.385,0.144,1.015,0.133,g
2459368.765,2021-06-03.2590424,bk,1.44,16.815,16.293,0.135,1.104,0.136,g
2459368.766,2021-06-03.2602810,bk,1.44,16.855,15.854,0.087,1.654,0.132,g
2459368.767,2021-06-03.2615098,bk,1.55,16.957,16.491,0.143,0.919,0.12,g
2459368.825,2021-06-03.3197567,bk,1.46,16.818,16.283,0.134,1.114,0.136,g
2459368.827,2021-06-03.3209835,bk,1.46,16.862,15.998,0.099,1.447,0.131,g
2459368.828,2021-06-03.3222113,bk,1.42,16.769,16.456,0.164,0.95,0.142,g
2459369.814,2021-06-04.3083737,bG,1.57,16.827,16.175,0.12,1.23,0.135,g
2459369.815,2021-06-04.3096475,bG,1.52,16.827,16.112,0.114,1.304,0.135,g
2459369.817,2021-06-04.3109321,bG,1.58,16.677,16.133,0.133,1.279,0.155,g
2459370.738,2021-06-05.2320702,bk,1.53,16.895,16.373,0.135,1.026,0.127,g
2459370.739,2021-06-05.2333015,bk,1.94,16.87,15.992,0.098,1.457,0.13,g
2459370.74,2021-06-05.2345303,bk,1.96,16.944,15.984,0.091,1.467,0.121,g
2459370.787,2021-06-05.2812899,bk,1.48,16.98,16.469,0.137,0.939,0.117,g
2459370.788,2021-06-05.2825180,bk,1.39,16.965,16.38,0.128,1.019,0.119,g
2459370.789,2021-06-05.2837399,bk,1.47,16.879,16.352,0.135,1.045,0.129,g
2459371.733,2021-06-06.2270931,bk,1.53,16.855,16.293,0.131,1.104,0.132,g
2459371.734,2021-06-06.2283230,bk,1.56,16.948,16.289,0.12,1.107,0.121,g
2459371.735,2021-06-06.2295474,bk,1.48,16.926,16.079,0.101,1.344,0.123,g
2459371.774,2021-06-06.2685898,bk,1.46,16.975,16.412,0.131,0.989,0.118,g
2459371.775,2021-06-06.2698199,bk,1.52,16.973,16.355,0.124,1.042,0.118,g
2459371.777,2021-06-06.2710451,bk,1.43,16.988,16.481,0.138,0.928,0.116,g
2459373.636,2021-06-08.1298700,bk,1.46,17.066,16.51,0.131,0.903,0.108,g
2459373.637,2021-06-08.1310824,bk,1.5,16.934,16.675,0.173,0.777,0.122,g
2459373.638,2021-06-08.1323170,bk,1.46,16.917,16.359,0.131,1.039,0.124,g
2459374.539,2021-06-09.0335079,bG,1.51,16.777,16.306,0.142,1.091,0.141,g
2459374.541,2021-06-09.0347870,bG,1.42,16.738,16.475,0.172,0.934,0.146,g
2459374.542,2021-06-09.0360598,bG,1.47,16.461,14.698,0.043,4.798,0.19,g
2459375.702,2021-06-10.1961901,bG,1.48,16.954,16.488,0.143,0.922,0.12,g
2459375.703,2021-06-10.1974952,bG,1.5,17.044,16.413,0.123,0.987,0.111,g
2459375.705,2021-06-10.1987678,bG,1.5,16.838,16.838,99.99,0.632,0.134,g
2459376.652,2021-06-11.1464456,bk,1.97,16.719,15.999,0.113,1.447,0.149,g
2459376.653,2021-06-11.1476956,bk,1.99,16.885,16.138,0.11,1.273,0.128,g
2459376.655,2021-06-11.1489327,bk,1.61,16.826,16.225,0.126,1.175,0.135,g
2459376.694,2021-06-11.1881349,bk,1.47,17.078,16.437,0.122,0.966,0.107,g
2459376.695,2021-06-11.1893628,bk,1.5,16.916,16.487,0.148,0.923,0.124,g
2459376.696,2021-06-11.1906046,bk,1.47,16.882,16.33,0.132,1.067,0.128,g
2459377.742,2021-06-12.2357543,bk,1.46,17.052,16.153,0.096,1.256,0.11,g
2459377.743,2021-06-12.2369771,bk,1.53,16.86,16.358,0.138,1.039,0.131,g
2459377.744,2021-06-12.2382097,bk,1.5,17.14,16.399,0.111,1.001,0.101,g
2459377.772,2021-06-12.2666561,bG,1.45,16.83,16.333,0.139,1.064,0.135,g
2459377.774,2021-06-12.2679304,bG,1.45,16.877,16.414,0.143,0.988,0.129,g
2459377.775,2021-06-12.2691945,bG,1.37,16.969,16.178,0.106,1.227,0.118,g
2459377.802,2021-06-12.2959702,bk,1.45,16.941,16.554,0.154,0.868,0.122,g
2459377.803,2021-06-12.2971990,bk,1.51,16.947,16.241,0.114,1.158,0.121,g
2459377.804,2021-06-12.2984364,bk,1.45,16.889,16.18,0.114,1.224,0.127,g
2459378.76,2021-06-13.2546684,bG,1.5,16.848,16.122,0.112,1.292,0.132,g
2459378.762,2021-06-13.2559552,bG,1.46,16.724,15.96,0.108,1.5,0.148,g
2459378.763,2021-06-13.2572409,bG,1.42,16.832,16.684,0.191,0.77,0.134,g
2459378.838,2021-06-13.3320820,bG,1.5,16.805,16.33,0.141,1.067,0.138,g
2459378.839,2021-06-13.3333710,bG,1.57,16.678,16.45,0.178,0.955,0.155,g
2459378.84,2021-06-13.3346568,bG,1.55,16.938,16.29,0.121,1.107,0.122,g
