HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458904.839,2020-02-25.3409057,bG,1.52,16.822,16.53,0.168,0.887,0.136,g
2458904.84,2020-02-25.3421840,bG,1.49,16.741,16.239,0.138,1.16,0.146,g
2458904.841,2020-02-25.3434581,bG,1.42,17.037,16.719,0.164,0.745,0.111,g
2458905.836,2020-02-26.3383399,bk,1.49,16.875,16.619,0.173,0.817,0.129,g
2458905.838,2020-02-26.3395664,bk,1.5,16.784,16.454,0.162,0.952,0.14,g
2458905.839,2020-02-26.3407893,bk,1.57,16.692,16.163,0.135,1.245,0.153,g
2458906.642,2020-02-27.1434835,bo,1.42,16.3,16.177,0.196,1.229,0.219,g
2458906.643,2020-02-27.1446912,bo,1.57,16.255,16.255,99.99,0.292,0.229,g
2458906.644,2020-02-27.1459083,bo,1.46,16.084,16.084,99.99,1.13,0.268,g
2458907.833,2020-02-28.3344491,bG,1.45,16.747,16.176,0.13,1.229,0.145,g
2458907.834,2020-02-28.3357265,bG,1.46,16.714,16.044,0.118,1.388,0.15,g
2458907.835,2020-02-28.3370118,bG,1.45,16.78,16.477,0.166,0.932,0.141,g
2458908.832,2020-02-29.3337869,bG,1.42,16.915,16.396,0.136,1.004,0.125,g
2458908.833,2020-02-29.3350537,bG,1.41,16.749,16.195,0.132,1.208,0.145,g
2458908.835,2020-02-29.3363313,bG,1.41,16.792,16.341,0.145,1.055,0.139,g
2458909.827,2020-03-01.3288474,bG,1.39,16.834,16.577,0.173,0.85,0.134,g
2458909.829,2020-03-01.3301243,bG,1.45,16.734,16.463,0.171,0.944,0.147,g
2458909.83,2020-03-01.3314041,bG,1.38,16.869,16.105,0.108,1.312,0.13,g
2458910.823,2020-03-02.3243253,bG,1.51,16.799,16.223,0.129,1.177,0.138,g
2458910.824,2020-03-02.3255951,bG,1.45,16.88,16.071,0.104,1.355,0.129,g
2458910.825,2020-03-02.3268744,bG,1.42,16.78,16.235,0.133,1.165,0.141,g
2458911.566,2020-03-03.0669475,bo,1.42,99.99,99.99,99.99,99.99,99.99,g
2458912.817,2020-03-04.3184891,bG,1.43,16.666,16.225,0.146,1.175,0.157,g
2458912.818,2020-03-04.3197582,bG,1.51,16.782,16.629,0.191,0.81,0.141,g
2458912.82,2020-03-04.3210273,bG,1.45,16.859,16.424,0.147,0.979,0.131,g
2458913.817,2020-03-05.3179097,bG,1.45,16.9,16.26,0.122,1.138,0.126,g
2458913.818,2020-03-05.3191737,bG,1.52,16.729,16.46,0.171,0.946,0.148,g
2458913.819,2020-03-05.3204547,bG,1.49,16.823,16.222,0.126,1.179,0.136,g
2458915.874,2020-03-07.3746554,bG,1.46,16.797,16.402,0.152,0.998,0.139,g
2458915.875,2020-03-07.3759223,bG,1.44,16.743,16.311,0.147,1.086,0.146,g
2458915.876,2020-03-07.3771862,bG,1.46,17.004,16.565,0.146,0.859,0.115,g
2458916.899,2020-03-08.4000952,bk,2.05,16.41,15.599,0.104,2.091,0.198,g
2458916.9,2020-03-08.4013258,bk,2.07,16.424,16.102,0.163,1.316,0.196,g
2458916.902,2020-03-08.4025600,bk,2.08,16.386,15.984,0.152,1.467,0.203,g
2458919.802,2020-03-11.3025533,bG,1.45,15.741,15.741,99.99,1.664,0.367,g
2458919.803,2020-03-11.3038317,bG,1.49,15.735,15.735,99.99,1.155,0.369,g
2458919.805,2020-03-11.3051254,bG,1.4,15.776,15.776,99.99,1.573,0.355,g
2458920.793,2020-03-12.2935769,bG,1.55,15.923,15.923,99.99,0.835,0.31,g
2458920.794,2020-03-12.2948530,bG,1.46,15.996,15.996,99.99,0.709,0.29,g
2458920.796,2020-03-12.2961413,bG,1.49,15.995,15.992,0.219,1.456,0.291,g
2458921.784,2020-03-13.2840025,bk,1.58,15.872,15.709,0.189,1.891,0.325,g
2458921.785,2020-03-13.2852255,bk,1.58,16.089,16.089,99.99,0.94,0.266,g
2458921.786,2020-03-13.2864518,bk,1.98,15.842,15.784,0.208,1.762,0.334,g
2458921.88,2020-03-13.3808861,bk,1.45,16.223,16.223,99.99,0.98,0.236,g
