Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev
14973,2017-10-21 17:52:00,58047.74444444444,q,928768245,0.7038857929369935,266.67054388056005,-32.234072730448965,15.690404891967773,0.005659832619130611,1922.490234375,10.021745956585617,0.02107397038862268
15005,2017-10-21 17:53:10,58047.74525462963,r,933357693,0.544606265442248,266.67058639215804,-32.234075705012685,15.416370391845703,0.0070202830247581005,2474.446044921875,15.999569242519646,0.03185688282887464
15033,2017-10-21 17:54:20,58047.74606481481,z,934156002,0.5468870207368999,266.6705737551415,-32.23405599924301,12.100578308105469,0.002309218980371952,52455.9609375,111.56696777432464,0.05264305861679365
14952,2017-10-21 17:56:40,58047.74768518518,i,924087057,0.3219757516072893,266.67058980398707,-32.23406865251461,13.17945671081543,0.0024096043780446053,19419.73828125,43.09876205696513,0.02814669752831144
14948,2017-10-21 17:57:50,58047.74849537037,g,923847996,0.0,266.67056029984593,-32.23405803422213,16.915983200073242,0.014444380067288876,621.7747192382812,8.27194522734813,0.02993579185796121
14974,2017-10-21 17:59:00,58047.74930555555,q,928889454,0.6445924967095509,266.67055624777174,-32.23407580435137,15.697681427001953,0.004750302992761135,1909.648681640625,8.355077097181127,0.02668068005058769
14975,2017-10-21 18:00:10,58047.75011574074,q,929034696,0.6483637950747968,266.67055309111976,-32.234089299175125,15.697452545166016,0.006924767047166824,1910.0513916015625,12.182204549247086,0.02479081152938531
14976,2017-10-21 18:00:50,58047.7505787037,q,929157649,0.6707262706701576,266.6705205549723,-32.23404531445241,15.65571117401123,0.006801626179367304,1984.9154052734375,12.434560240477659,0.02760184394647038
14977,2017-10-21 18:01:30,58047.75104166667,q,929278570,0.8170321931710579,266.6704699020791,-32.234070975114754,15.686299324035645,0.007002025842666626,1929.7735595703125,12.445310452160488,0.03022087816119223
14978,2017-10-21 18:02:10,58047.75150462963,q,929399694,0.3388580821420426,266.67061959236224,-32.2340557054567,15.699400901794434,0.006958486512303352,1906.627685546875,12.219581839962851,0.0298186143323092
