#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],User Spectral Type,User [Fe/H]
C:/Users/User/Documents/Uni and Work/Postgrad - Oxford/TraP/H1743/Spectro/Spectrum1.csv,csv,-127.46993668332709,M8,-0.5,nan,nan
C:/Users/User/Documents/Uni and Work/Postgrad - Oxford/TraP/H1743/Spectro/Spectrum2.csv,csv,-130.27587082153693,M8,-0.5,nan,nan
